,customer lifetime value
0,2763.519279
1,6979.535903
2,12887.43165
3,7645.861827
4,2813.692575
5,8256.2978
6,5380.898636
7,7216.100311
8,24127.50402
9,7388.178085
10,4738.992022
11,8197.197078
12,8798.797003
13,8819.018934
14,5384.431665
15,7463.139377
16,2566.867823
17,3945.241604
18,5710.333115
19,8162.617053
20,2872.051273
21,3041.791561
22,24127.50402
23,2450.190996
24,2392.10789
25,5802.065978
26,3946.372085
27,5346.916576
28,12902.56014
29,3235.360468
30,2454.58354
31,18975.45611
32,4715.321344
33,5018.885233
34,4932.916345
35,5744.229745
36,13891.73567
37,7380.976717
38,3090.034104
39,2521.633095
40,2652.061785
41,2771.045031
42,3939.00637
43,12231.87968
44,2443.665166
45,12819.10289
46,4468.510542
47,5514.344018
48,3343.875326
49,2294.478927
50,36707.42639
51,33473.34946
52,7983.431709
53,4854.745666
54,4293.997319
55,7164.395543
56,7619.5158
57,3958.002823
58,4499.493252
59,4059.567414
60,4458.113369
61,8110.333139
62,3339.764873
63,24261.01777
64,6613.973653
65,2930.693543
66,8672.194272
67,11638.66926
68,6846.150323
69,11727.77648
70,22643.83478
71,2614.474305
72,2451.752695
73,6781.270203
74,4974.801539
75,8591.604933
76,5592.161392
77,8009.472833
78,11318.08982
79,58166.55351
80,8025.229358
81,5780.182197
82,4118.539113
83,2523.07015
84,6554.216396
85,7703.397294
86,5926.729379
87,2683.470677
88,2695.182419
89,6047.02516
90,13171.01282
91,10656.88195
92,2527.653796
93,2672.095756
94,5313.294035
95,20946.19251
96,8375.353929
97,4801.661503
98,5745.94334
99,6066.115969
100,8002.308333
101,2393.915369
102,4762.8179
103,4330.38602
104,9402.729769
105,6966.694527
106,7694.064293
107,8717.561149
108,5928.748528
109,2452.977288
110,6701.571657
111,7556.24034
112,8492.6988
113,7713.494046
114,24084.5352
115,7290.069769
116,4772.943848
117,6806.491395
118,2469.781334
119,3103.923041
120,2981.875575
121,8902.737595
122,5499.447223
123,15023.59858
124,2509.107875
125,31221.7481
126,3133.503432
127,3837.451863
128,11790.49617
129,7838.068321
130,4305.808345
131,5973.976904
132,5670.442396
133,4731.749346
134,8026.379641
135,4022.963529
136,9618.310865
137,2274.775451
138,9552.926922
139,10388.55323
140,2470.121222
141,5619.068508
142,9047.119209
143,6692.143668
144,3731.504584
145,3660.770258
146,7928.829252
147,5011.751577
148,7988.258292
149,3885.456401
150,2659.337982
151,8564.768226
152,4885.162511
153,9753.307106
154,2946.153697
155,2581.110945
156,3517.385764
157,9743.350113
158,3873.647046
